id,session,sid,context,state,answer,stateC,answerC,appxC,Precision,Accuracy,Info lack,Misinfo,Safe,H needs,Context,S ease,H ease,Habit,Sound,Other,motive
1220,1,220,neighbor,at 8:30,8:30,0,0,0,,x,,,,,,,,,,,As I knew the time so wanted to be as accurate as I could
1221,1,221,neighbor,at 8:28,8.28am,2,2,0,,,,,,,,,,,,0,because I was asked to write the time displayed on the clock
1223,1,223,neighbor,8:26-8:34,around 08.26 - 08.34,8,18,around,x,,x,,,,,,,,,,Because i wasn't sure of the exact time 
1225,1,225,police,at 8:28,8:28,2,2,0,,,,,,,,,,,,0,12hour notation is more common around the world
1227,1,227,police,8:26-8:34,about 8.30,8,10,about,x,,,,,,,,,,,,because this is an approximate time within this timeframe
1228,1,228,neighbor,at 8:30,eight thirty,0,0,0,x,,,,,,,,,x,,,That's how I would answer the question if I remembered the time exactly. Or I would say around eight thirty if I didn't remember the exact time.
1229,1,229,neighbor,at 8:28,around 8.25am,2,15,around,x,,,,,x,x,,,x,,,People usually expect a general or approx time. I fi I was being questioned by the police I would have stated 8.28am
1230,1,230,neighbor,at 8:34,eight thirty four,4,4,0,,,,,,,,,,,,0,I thought that when you talk to people you use words out in full so I should type out the words in full as if I was speaking to a real person instead of using the digits
1233,1,233,police,at 8:32,0832am,2,2,0,x,,,,,,,,,,, ,to indicate that it was the morning time and to give an exact time
1236,1,236,neighbor,at 8:30,approximately half past eight,0,10,approximately,,,,x,,,,,,,,,"Because I would like to say it occurred roughly at half past eight, as the participants may have a slightly different time to me"
1237,1,237,neighbor,at 8:28,8.28am,2,2,0,,,,,,,,,,,,0,it happened at this time so thats what the answer was
1238,1,238,neighbor,at 8:26,about 8:30,4,10,about,x,,,,,,,x,,,,,because it seem easier to round the time rather than give to the minute.
1239,1,239,neighbor,8:26-8:34,around 8:25 to 8:35,8,19,around,,,,,,,,x,x,,,,its the nearest 'roundings' of 5 and its easier to not only say but understand 
1240,1,240,police,at 8:30,eight thirty,0,0,0,,,,,,,,,,,,0,It provides a factual direct answer
1243,1,243,police,8:26-8:34,between 8.26am and 8.34am,8,8,0,x,,,,,,,,,,,,I wanted to be as precise as possible
1244,1,244,neighbor,at 8:30,eight thirty in the morning,0,0,0,,,,,,,,,,x,,,It is a colloquial way of reading time and people generally use and understand it that way.
1245,1,245,neighbor,at 8:28,8:28,2,2,0,,,,,,,,,,,,0,I looked at the clock and chose my answer.
1246,1,246,neighbor,at 8:26,8:26am,4,4,0,,,,,,,,,,x,,,"I wrote how I would say it in real life, though I would probably omit the AM part"
1249,1,249,police,at 8:32,8:32 AM,2,2,0,x,,,,,x,x,,,,,,"The police police would need a precise time for his timeline. I gave the precise time. The accident occurred in the morning, so I added AM."
1250,1,250,police,at 8:26,8:26,4,4,0,,,,,,,,,,,,0,As it was the time shown on the clock.
1251,1,251,police,8:26-8:34,8:30,8,0,0,,,,,,,,,,,,0,Because that was between  both sets of time
1252,1,252,neighbor,at 8:30,8.30,0,0,0,,,,,,,,,,,,0,it was a clear response to the question 
1253,1,253,neighbor,at 8:28,08:29 am,2,2,0,,,,,x,,,,,,,,"It might happen that it was just before 08:29, so just to be safe or realistic I wrote 08:29 am"
1255,1,255,neighbor,8:26-8:34,8:30,8,0,0,x,,,,,,,,x,,,,"It's a less precise time, but easier for everyone to understand/think about."
1256,1,256,police,at 8:30,8:30,0,0,0,,,,,,,,,,,,0,Because the scenario stated that I looked at my watch when it happened
